school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,_schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
2015-16,X137,,2225 WEBSTER AVENUE CONSOLIDATED LOCATION,,2225 WEBSTER AVENUE,X,10.0,1146.0,2225 WEBSTER AVENUE CONSOLIDATED LOCATION,2,Theatre Arts Production Company School |  The Angelo Patri Middle School |  2225 WEBSTER AVENUE CONSOLIDATED LOCATION,0.0,5.0,5.0,5.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,10457.0,40.854493,-73.896717,5.0,15.0,379.0,2013307.0,2031430043.0,Mount Hope                                                                 
2015-16,X137,10X391,The Angelo Patri Middle School,X391,2225 WEBSTER AVENUE,X,10.0,516.0,2225 WEBSTER AVENUE CONSOLIDATED LOCATION,2,Theatre Arts Production Company School |  The Angelo Patri Middle School |  2225 WEBSTER AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,BRONX,10457.0,40.854493,-73.896717,5.0,15.0,379.0,2013307.0,2031430043.0,Mount Hope                                                                 
2015-16,X137,10X225,Theatre Arts Production Company School,X225,2225 WEBSTER AVENUE,X,10.0,630.0,2225 WEBSTER AVENUE CONSOLIDATED LOCATION,2,Theatre Arts Production Company School |  The Angelo Patri Middle School |  2225 WEBSTER AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,BRONX,10457.0,40.854493,-73.896717,5.0,15.0,379.0,2013307.0,2031430043.0,Mount Hope                                                                 
2015-16,X136,75X186,P186X Walter J. Damrosch School,X186,750 JENNINGS STREET,X,12.0,631.0,,1,P186X Walter J. Damrosch School,1.0,3.0,4.0,4.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,10459.0,40.83182,-73.898075,3.0,16.0,151.0,2010344.0,2029690001.0,Morrisania-Melrose                                                         
2015-16,X135,,2441 WALLACE AVENUE CONSOLIDATED LOCATION,,2441 WALLACE AVENUE,X,11.0,1137.0,2441 WALLACE AVENUE CONSOLIDATED LOCATION,3,Bronx Green Middle School |  Pelham Academy of Academics and Community Engageme |  Bronx Park Middle School |  2441 WALLACE AVENUE CONSOLIDATED LOCATION,2.0,3.0,7.0,4.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
2015-16,X135,11X556,Bronx Park Middle School,X556,2441 WALLACE AVENUE,X,11.0,398.0,2441 WALLACE AVENUE CONSOLIDATED LOCATION,3,Bronx Green Middle School |  Pelham Academy of Academics and Community Engageme |  Bronx Park Middle School |  2441 WALLACE AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
2015-16,X135,11X468,Pelham Academy of Academics and Community Engageme,X468,2441 WALLACE AVENUE,X,11.0,352.0,2441 WALLACE AVENUE CONSOLIDATED LOCATION,3,Bronx Green Middle School |  Pelham Academy of Academics and Community Engageme |  Bronx Park Middle School |  2441 WALLACE AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
2015-16,X135,11X326,Bronx Green Middle School,X326,2441 WALLACE AVENUE,X,11.0,387.0,2441 WALLACE AVENUE CONSOLIDATED LOCATION,3,Bronx Green Middle School |  Pelham Academy of Academics and Community Engageme |  Bronx Park Middle School |  2441 WALLACE AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
2015-16,X134,12X134,P.S. 134 George F. Bristow,X134,1330 BRISTOW STREET,X,12.0,687.0,,1,P.S. 134 George F. Bristow,0.0,1.0,0.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,10459.0,40.83132,-73.894794,3.0,17.0,153.0,2010273.0,2029650082.0,Crotona Park East                                                          
2015-16,X132,09X132,P.S. 132 Garret A. Morgan,X132,1245 WASHINGTON AVENUE,X,9.0,442.0,,1,P.S. 132 Garret A. Morgan,0.0,1.0,0.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,BRONX,10456.0,40.831827,-73.906607,3.0,16.0,145.0,2001619.0,2023900001.0,Claremont-Bathgate                                                         
